"","Word1","Word2","Creativity","FF","Class","Individual"
"1","toaster","iron",1.625,0.9074762314801,"ac.americans",1
"2","iron","mixer",1.625,0.9074762314801,"ac.americans",1
"3","mixer","blender",1.625,0.9074762314801,"ac.americans",1
"4","blender","chopper",1.625,0.9074762314801,"ac.americans",1
"5","chopper","grinder",1.625,0.9074762314801,"ac.americans",1
"6","grinder","peeler",1.625,0.9074762314801,"ac.americans",1
"7","toaster","Strudel",1.25,0.907131472,"ac.americans",2
"8","Strudel","Pastry",1.25,0.907131472,"ac.americans",2
"9","Pastry","Dough",1.25,0.907131472,"ac.americans",2
"10","Dough","Boy",1.25,0.907131472,"ac.americans",2
"11","Boy","Man",1.25,0.907131472,"ac.americans",2
"12","Man","Woman",1.25,0.907131472,"ac.americans",2
"13","Woman","Mom",1.25,0.907131472,"ac.americans",2
"14","Mom","Dad",1.25,0.907131472,"ac.americans",2
"15","Dad","Father",1.25,0.907131472,"ac.americans",2
"16","Father","Day",1.25,0.907131472,"ac.americans",2
"17","Day","Time",1.25,0.907131472,"ac.americans",2
"18","Time","Clock",1.25,0.907131472,"ac.americans",2
"19","Clock","Maker",1.25,0.907131472,"ac.americans",2
"20","Maker","Manufacturer",1.25,0.907131472,"ac.americans",2
"21","Manufacturer","Car",1.25,0.907131472,"ac.americans",2
"22","Car","Subaru",1.25,0.907131472,"ac.americans",2
"23","Subaru","Forester",1.25,0.907131472,"ac.americans",2
"24","Forester","Suv",1.25,0.907131472,"ac.americans",2
"25","Suv","Crossover",1.25,0.907131472,"ac.americans",2
"26","candle","Yankee",1.11111111111111,0.903935347,"ac.americans",3
"27","Yankee","Bathandbody",1.11111111111111,0.903935347,"ac.americans",3
"28","Bathandbody","Jasmine",1.11111111111111,0.903935347,"ac.americans",3
"29","Jasmine","Sweetpea",1.11111111111111,0.903935347,"ac.americans",3
"30","Sweetpea","Apple",1.11111111111111,0.903935347,"ac.americans",3
"31","Apple","Pumpkinspice",1.11111111111111,0.903935347,"ac.americans",3
"32","Pumpkinspice","Oceanbreeze",1.11111111111111,0.903935347,"ac.americans",3
"33","Oceanbreeze","Lavender",1.11111111111111,0.903935347,"ac.americans",3
"34","Lavender","Plumeria",1.11111111111111,0.903935347,"ac.americans",3
