"Word1" "Word2" "Creativity" "Class"
"1" "toaster" "iron" 1.625 "Americans"
"2" "iron" "mixer" 1.625 "Americans"
"3" "mixer" "blender" 1.625 "Americans"
"4" "blender" "chopper" 1.625 "Americans"
"5" "chopper" "grinder" 1.625 "Americans"
"6" "grinder" "peeler" 1.625 "Americans"
"7" "toaster" "strudel" 1.25 "Americans"
"8" "strudel" "pastry" 1.25 "Americans"
"9" "pastry" "dough" 1.25 "Americans"
"10" "dough" "boy" 1.25 "Americans"
"11" "boy" "man" 1.25 "Americans"
"12" "man" "woman" 1.25 "Americans"
"13" "woman" "mom" 1.25 "Americans"
"14" "mom" "dad" 1.25 "Americans"
"15" "dad" "father" 1.25 "Americans"
"16" "father" "day" 1.25 "Americans"
"17" "day" "time" 1.25 "Americans"
"18" "time" "clock" 1.25 "Americans"
"19" "clock" "maker" 1.25 "Americans"
"20" "maker" "manufacturer" 1.25 "Americans"
"21" "manufacturer" "car" 1.25 "Americans"
"22" "car" "subaru" 1.25 "Americans"
"23" "subaru" "forester" 1.25 "Americans"
"24" "forester" "suv" 1.25 "Americans"
"25" "suv" "crossover" 1.25 "Americans"
"26" "candle" "yankee" 1.11111111111111 "Americans"
"27" "yankee" "bath" 1.11111111111111 "Americans"
"28" "bath" "and" 1.11111111111111 "Americans"
"29" "and" "body" 1.11111111111111 "Americans"
"30" "body" "jasmine" 1.11111111111111 "Americans"
"31" "jasmine" "sweet" 1.11111111111111 "Americans"
"32" "sweet" "pea" 1.11111111111111 "Americans"
"37" "pumpkin" "spice" 1.11111111111111 "Americans"
"40" "ocean" "breeze" 1.11111111111111 "Americans"
"41" "breeze" "lavender" 1.11111111111111 "Americans"
"42" "lavender" "plumeria" 1.11111111111111 "Americans"
"43" "plumeria" "relaxing" 1.11111111111111 "Americans"
"44" "relaxing" "scented" 1.11111111111111 "Americans"
"45" "scented" "wick" 1.11111111111111 "Americans"
"46" "wick" "12" 1.11111111111111 "Americans"
"47" "12" "hour" 1.11111111111111 "Americans"
"48" "hour" "burn" 1.11111111111111 "Americans"
"49" "burn" "garden" 1.11111111111111 "Americans"
"50" "garden" "rain" 1.11111111111111 "Americans"
"53" "grapefruit" "tealight" 1.11111111111111 "Americans"
"56" "citrus" "candy" 1.11111111111111 "Americans"
"57" "candy" "lighter" 1.11111111111111 "Americans"
"58" "toaster" "strudel" 2 "Americans"
"61" "german" "soldier" 2 "Americans"
"62" "soldier" "veteran" 2 "Americans"
"63" "veteran" "benefits" 2 "Americans"
"64" "benefits" "health" 2 "Americans"
"65" "health" "poor" 2 "Americans"
"66" "poor" "rich" 2 "Americans"
"67" "rich" "money" 2 "Americans"
"68" "money" "cash" 2 "Americans"
"69" "cash" "wallet" 2 "Americans"
"70" "wallet" "purse" 2 "Americans"
"71" "purse" "outfit" 2 "Americans"
"72" "outfit" "new" 2 "Americans"
"73" "new" "old" 2 "Americans"
"74" "old" "maid" 2 "Americans"
"75" "maid" "housekeeper" 2 "Americans"
"76" "housekeeper" "dust" 2 "Americans"
"77" "dust" "mop" 2 "Americans"
"78" "bear" "mountain" 2.52777777777778 "Americans"
"79" "mountain" "new" 2.52777777777778 "Americans"
"80" "new" "jersey" 2.52777777777778 "Americans"
"81" "jersey" "salon" 2.52777777777778 "Americans"
"82" "salon" "tv" 2.52777777777778 "Americans"
"83" "tv" "reality" 2.52777777777778 "Americans"
"84" "reality" "sundays" 2.52777777777778 "Americans"
"85" "sundays" "teresa" 2.52777777777778 "Americans"
"86" "teresa" "jail" 2.52777777777778 "Americans"
"87" "jail" "book" 2.52777777777778 "Americans"
