"path1" "path2" "dec1" "dec2" "sim" "index"
"161876" "wlp_1950s_iie/fic_1952_10288.txt" "wlp_1850s_qis/fic_1858_7888.txt" "1850s" "1950s" 6.01712992820652 161876
"161877" "wlp_1950s_iie/fic_1952_10288.txt" "wlp_1850s_qis/fic_1856_9852.txt" "1850s" "1950s" 6.42112379864927 161877
"161878" "wlp_1950s_iie/fic_1952_10288.txt" "wlp_1870s_hiw/fic_1872_9198.txt" "1870s" "1950s" 6.52145450987981 161878
"161879" "wlp_1950s_iie/fic_1952_10288.txt" "wlp_1930s_ney/fic_1939_781942.txt" "1930s" "1950s" 6.41109091915009 161879
"161880" "wlp_1950s_iie/fic_1952_10288.txt" "wlp_1820s_hsi/fic_1827_2832.txt" "1820s" "1950s" 6.36964858283689 161880
"161881" "wlp_1950s_iie/fic_1952_10288.txt" "wlp_1820s_hsi/fic_1823_7214.txt" "1820s" "1950s" 6.15101928955559 161881
"161882" "wlp_1950s_iie/fic_1952_10288.txt" "wlp_1930s_ney/fic_1931_23173.txt" "1930s" "1950s" 5.42364471900447 161882
"161883" "wlp_1950s_iie/fic_1952_10288.txt" "wlp_1820s_hsi/fic_1824_7037.txt" "1820s" "1950s" 6.44131248509813 161883
"161884" "wlp_1950s_iie/fic_1952_10288.txt" "wlp_1880s_bss/fic_1885_9861.txt" "1880s" "1950s" 6.19626577978718 161884
"161885" "wlp_1950s_iie/fic_1952_10288.txt" "wlp_1940s_gax/fic_1943_13869.txt" "1940s" "1950s" 6.02264071514859 161885
"161886" "wlp_1950s_iie/fic_1952_10288.txt" "wlp_1900s_nsi/fic_1907_2784.txt" "1900s" "1950s" 6.21528670515732 161886
"161887" "wlp_1950s_iie/fic_1952_10288.txt" "wlp_1910s_hse/fic_1917_13336.txt" "1910s" "1950s" 6.20603555941727 161887
"161888" "wlp_1950s_iie/fic_1952_10288.txt" "wlp_1870s_hiw/fic_1875_3334.txt" "1870s" "1950s" 6.30373636400176 161888
"161889" "wlp_1950s_iie/fic_1952_10288.txt" "wlp_1860s_los/fic_1860_9188.txt" "1860s" "1950s" 6.28829871890044 161889
"161890" "wlp_1950s_iie/fic_1952_10288.txt" "wlp_1810s_ksw/fic_1812_8872.txt" "1810s" "1950s" 5.96823360663773 161890
"161891" "wlp_1950s_iie/fic_1952_10288.txt" "wlp_1840s_nsj/fic_1840_8549.txt" "1840s" "1950s" 5.34219792079162 161891
"161892" "wlp_1950s_iie/fic_1952_10288.txt" "wlp_1910s_hse/fic_1911_462.txt" "1910s" "1950s" 6.44875013526114 161892
"161893" "wlp_1950s_iie/fic_1952_10288.txt" "wlp_1860s_los/fic_1869_9023.txt" "1860s" "1950s" 6.20157429270078 161893
"161894" "wlp_1950s_iie/fic_1952_10288.txt" "wlp_1850s_qis/fic_1851_746.txt" "1850s" "1950s" 6.15777277326165 161894
"161895" "wlp_1950s_iie/fic_1952_10288.txt" "wlp_1920s_bsq/fic_1920_16237.txt" "1920s" "1950s" 5.9552778336706 161895
"161896" "wlp_1950s_iie/fic_1952_10288.txt" "wlp_1910s_hse/fic_1918_3785.txt" "1910s" "1950s" 6.45308921578655 161896
"161897" "wlp_1950s_iie/fic_1952_10288.txt" "wlp_1900s_nsi/fic_1909_1047.txt" "1900s" "1950s" 6.33320964529852 161897
"161898" "wlp_1950s_iie/fic_1952_10288.txt" "wlp_1900s_nsi/fic_1906_12091.txt" "1900s" "1950s" 6.29185325619493 161898
"161899" "wlp_1950s_iie/fic_1952_10288.txt" "wlp_1890s_zna/fic_1890_9729.txt" "1890s" "1950s" 6.14909061885777 161899
"161900" "wlp_1950s_iie/fic_1952_10288.txt" "wlp_1820s_hsi/fic_1827_9758.txt" "1820s" "1950s" 6.19473614652392 161900
"161901" "wlp_1950s_iie/fic_1952_10288.txt" "wlp_1930s_ney/fic_1933_10036.txt" "1930s" "1950s" 6.16551662183239 161901
"161902" "wlp_1950s_iie/fic_1952_10288.txt" "wlp_1930s_ney/fic_1932_23227.txt" "1930s" "1950s" 6.08633604931901 161902
"161903" "wlp_1950s_iie/fic_1952_10288.txt" "wlp_1860s_los/fic_1866_9769.txt" "1860s" "1950s" 5.58248070863777 161903
"161904" "wlp_1950s_iie/fic_1952_10288.txt" "wlp_1930s_ney/fic_1931_23179.txt" "1930s" "1950s" 4.89157771049593 161904
"161905" "wlp_1950s_iie/fic_1952_10288.txt" "wlp_1920s_bsq/fic_1922_5107.txt" "1920s" "1950s" 6.42109090008482 161905
"161906" "wlp_1950s_iie/fic_1952_10288.txt" "wlp_1840s_nsj/fic_1849_583.txt" "1840s" "1950s" 6.30457267556002 161906
"161907" "wlp_1950s_iie/fic_1952_10288.txt" "wlp_1900s_nsi/fic_1902_840.txt" "1900s" "1950s" 5.70793960136756 161907
"161908" "wlp_1950s_iie/fic_1952_10288.txt" "wlp_1810s_ksw/fic_1819_8618.txt" "1810s" "1950s" 6.15555647272362 161908
"161909" "wlp_1950s_iie/fic_1952_10288.txt" "wlp_1940s_gax/fic_1948_10236.txt" "1940s" "1950s" 6.21232784603877 161909
"161910" "wlp_1950s_iie/fic_1952_10288.txt" "wlp_1890s_zna/fic_1898_5103.txt" "1890s" "1950s" 6.3535111967568 161910
