"V1" "V2" "author1" "author2" "sim" "l1" "l2" "index"
"17170.8" "The Tiger Lily" "Stories by American Authors" "Fenn, George Manville" "Various" 6.4754312120898 2000 2000 171699
"17170.9" "The Tiger Lily" "Stories by American Authors" "Fenn, George Manville" "Various" 6.293751180837 2000 2000 171700
"17171" "The Tiger Lily" "The Little Nugget" "Fenn, George Manville" "Wodehouse, P. G. (Pelham Grenville)" 6.4554455778195 2000 2000 171701
"17171.1" "The Tiger Lily" "The Little Nugget" "Fenn, George Manville" "Wodehouse, P. G. (Pelham Grenville)" 6.18353962945093 2000 2000 171702
"17171.2" "The Tiger Lily" "The Little Nugget" "Fenn, George Manville" "Wodehouse, P. G. (Pelham Grenville)" 6.32095219218731 2000 2000 171703
"17171.3" "The Tiger Lily" "The Little Nugget" "Fenn, George Manville" "Wodehouse, P. G. (Pelham Grenville)" 6.18920958075712 2000 2000 171704
"17171.4" "The Tiger Lily" "The Little Nugget" "Fenn, George Manville" "Wodehouse, P. G. (Pelham Grenville)" 6.59477132728308 2000 2000 171705
"17171.5" "The Tiger Lily" "The Little Nugget" "Fenn, George Manville" "Wodehouse, P. G. (Pelham Grenville)" 6.41515893698692 2000 2000 171706
"17171.6" "The Tiger Lily" "The Little Nugget" "Fenn, George Manville" "Wodehouse, P. G. (Pelham Grenville)" 6.35614981235835 2000 2000 171707
"17171.7" "The Tiger Lily" "The Little Nugget" "Fenn, George Manville" "Wodehouse, P. G. (Pelham Grenville)" 6.45892846061007 2000 2000 171708
"17171.8" "The Tiger Lily" "The Little Nugget" "Fenn, George Manville" "Wodehouse, P. G. (Pelham Grenville)" 6.40674329078559 2000 2000 171709
"17171.9" "The Tiger Lily" "The Little Nugget" "Fenn, George Manville" "Wodehouse, P. G. (Pelham Grenville)" 6.0816433699723 2000 2000 171710
"17172" "The Tiger Lily" "Kit Musgrave" "Fenn, George Manville" "Bindloss, Harold" 6.10580208116373 2000 2000 171711
"17172.1" "The Tiger Lily" "Kit Musgrave" "Fenn, George Manville" "Bindloss, Harold" 5.77677151721062 2000 2000 171712
"17172.2" "The Tiger Lily" "Kit Musgrave" "Fenn, George Manville" "Bindloss, Harold" 6.1339873318283 2000 2000 171713
"17172.3" "The Tiger Lily" "Kit Musgrave" "Fenn, George Manville" "Bindloss, Harold" 5.90685397201588 2000 2000 171714
