"V1" "V2" "author1" "author2" "sim" "l1" "l2" "index"
"19749.2" "The Great Stone Face" "The Blockade of Phalsburg" "Hawthorne, Nathaniel" "Erckmann-Chatrian" 6.2984324179447 2000 2000 197483
"19749.3" "The Great Stone Face" "The Blockade of Phalsburg" "Hawthorne, Nathaniel" "Erckmann-Chatrian" 6.32037805913137 2000 2000 197484
"19749.4" "The Great Stone Face" "The Blockade of Phalsburg" "Hawthorne, Nathaniel" "Erckmann-Chatrian" 6.0469573278348 2000 2000 197485
"19749.5" "The Great Stone Face" "The Blockade of Phalsburg" "Hawthorne, Nathaniel" "Erckmann-Chatrian" 6.16022997634753 2000 2000 197486
"19749.6" "The Great Stone Face" "The Blockade of Phalsburg" "Hawthorne, Nathaniel" "Erckmann-Chatrian" 6.27627730019833 2000 2000 197487
"19749.7" "The Great Stone Face" "The Blockade of Phalsburg" "Hawthorne, Nathaniel" "Erckmann-Chatrian" 6.21410501436403 2000 2000 197488
"19749.8" "The Great Stone Face" "The Blockade of Phalsburg" "Hawthorne, Nathaniel" "Erckmann-Chatrian" 6.08956521584173 2000 2000 197489
"19749.9" "The Great Stone Face" "The Blockade of Phalsburg" "Hawthorne, Nathaniel" "Erckmann-Chatrian" 6.18802959313233 2000 2000 197490
"19750" "The Great Stone Face" "The Works of Robert Louis Stevenson" "Hawthorne, Nathaniel" "Stevenson, Robert Louis" 6.29012480321247 2000 2000 197491
"19750.1" "The Great Stone Face" "The Works of Robert Louis Stevenson" "Hawthorne, Nathaniel" "Stevenson, Robert Louis" 6.42747110824081 2000 2000 197492
"19750.2" "The Great Stone Face" "The Works of Robert Louis Stevenson" "Hawthorne, Nathaniel" "Stevenson, Robert Louis" 6.44937261970322 2000 2000 197493
"19750.3" "The Great Stone Face" "The Works of Robert Louis Stevenson" "Hawthorne, Nathaniel" "Stevenson, Robert Louis" 6.29537243704712 2000 2000 197494
"19750.4" "The Great Stone Face" "The Works of Robert Louis Stevenson" "Hawthorne, Nathaniel" "Stevenson, Robert Louis" 6.41297866462575 2000 2000 197495
"19750.5" "The Great Stone Face" "The Works of Robert Louis Stevenson" "Hawthorne, Nathaniel" "Stevenson, Robert Louis" 6.14900344907676 2000 2000 197496
"19750.6" "The Great Stone Face" "The Works of Robert Louis Stevenson" "Hawthorne, Nathaniel" "Stevenson, Robert Louis" 6.2916695776845 2000 2000 197497
"19750.7" "The Great Stone Face" "The Works of Robert Louis Stevenson" "Hawthorne, Nathaniel" "Stevenson, Robert Louis" 6.40280770063997 2000 2000 197498
"19750.8" "The Great Stone Face" "The Works of Robert Louis Stevenson" "Hawthorne, Nathaniel" "Stevenson, Robert Louis" 6.34336563268273 2000 2000 197499
"19750.9" "The Great Stone Face" "The Works of Robert Louis Stevenson" "Hawthorne, Nathaniel" "Stevenson, Robert Louis" 6.27569158900067 2000 2000 197500
"19751" "The Great Stone Face" "Captain Desmond" "Hawthorne, Nathaniel" "Diver, Maud" 6.33715624763989 2000 2000 197501
"19751.1" "The Great Stone Face" "Captain Desmond" "Hawthorne, Nathaniel" "Diver, Maud" 6.35600418537891 2000 2000 197502
"19751.2" "The Great Stone Face" "Captain Desmond" "Hawthorne, Nathaniel" "Diver, Maud" 6.43294776413861 2000 2000 197503
"19751.3" "The Great Stone Face" "Captain Desmond" "Hawthorne, Nathaniel" "Diver, Maud" 6.48912866337918 2000 2000 197504
"19751.4" "The Great Stone Face" "Captain Desmond" "Hawthorne, Nathaniel" "Diver, Maud" 6.40083533039393 2000 2000 197505
"19751.5" "The Great Stone Face" "Captain Desmond" "Hawthorne, Nathaniel" "Diver, Maud" 6.40599671492583 2000 2000 197506
"19751.6" "The Great Stone Face" "Captain Desmond" "Hawthorne, Nathaniel" "Diver, Maud" 6.47688466466004 2000 2000 197507
"19751.7" "The Great Stone Face" "Captain Desmond" "Hawthorne, Nathaniel" "Diver, Maud" 6.63000253117903 2000 2000 197508
"19751.8" "The Great Stone Face" "Captain Desmond" "Hawthorne, Nathaniel" "Diver, Maud" 6.26473753983808 2000 2000 197509
"19751.9" "The Great Stone Face" "Captain Desmond" "Hawthorne, Nathaniel" "Diver, Maud" 6.62644891284191 2000 2000 197510
"19752" "The Great Stone Face" "The Real Thing and Other Tales" "Hawthorne, Nathaniel" "James, Henry" 6.33009317310237 2000 2000 197511
"19752.1" "The Great Stone Face" "The Real Thing and Other Tales" "Hawthorne, Nathaniel" "James, Henry" 6.05231619640702 2000 2000 197512
"19752.2" "The Great Stone Face" "The Real Thing and Other Tales" "Hawthorne, Nathaniel" "James, Henry" 6.22836607691748 2000 2000 197513
"19752.3" "The Great Stone Face" "The Real Thing and Other Tales" "Hawthorne, Nathaniel" "James, Henry" 6.11241265791418 2000 2000 197514
"19752.4" "The Great Stone Face" "The Real Thing and Other Tales" "Hawthorne, Nathaniel" "James, Henry" 6.29493062425195 2000 2000 197515
"19752.5" "The Great Stone Face" "The Real Thing and Other Tales" "Hawthorne, Nathaniel" "James, Henry" 6.36511398415045 2000 2000 197516
"19752.6" "The Great Stone Face" "The Real Thing and Other Tales" "Hawthorne, Nathaniel" "James, Henry" 6.2522910737131 2000 2000 197517
"19752.7" "The Great Stone Face" "The Real Thing and Other Tales" "Hawthorne, Nathaniel" "James, Henry" 6.3877819575324 2000 2000 197518
"19752.8" "The Great Stone Face" "The Real Thing and Other Tales" "Hawthorne, Nathaniel" "James, Henry" 6.3875639495662 2000 2000 197519
"19752.9" "The Great Stone Face" "The Real Thing and Other Tales" "Hawthorne, Nathaniel" "James, Henry" 6.25840030982706 2000 2000 197520
"19753" "The Great Stone Face" "The Silent Places" "Hawthorne, Nathaniel" "White, Stewart Edward" 6.29251748942301 2000 2000 197521
"19753.1" "The Great Stone Face" "The Silent Places" "Hawthorne, Nathaniel" "White, Stewart Edward" 6.18505114660405 2000 2000 197522
"19753.2" "The Great Stone Face" "The Silent Places" "Hawthorne, Nathaniel" "White, Stewart Edward" 6.33739968350563 2000 2000 197523
"19753.3" "The Great Stone Face" "The Silent Places" "Hawthorne, Nathaniel" "White, Stewart Edward" 6.13027240784635 2000 2000 197524
