"V1" "V2" "author1" "author2" "sim" "l1" "l2" "index"
"22796.4" "Odd Man Out" "Half" "Jacobs, W. W. (William Wymark)" "Various" 5.7287582958706 2000 2000 227955
"22796.5" "Odd Man Out" "Half" "Jacobs, W. W. (William Wymark)" "Various" 5.49925604561207 2000 2000 227956
"22796.6" "Odd Man Out" "Half" "Jacobs, W. W. (William Wymark)" "Various" 5.28934571211461 2000 2000 227957
"22796.7" "Odd Man Out" "Half" "Jacobs, W. W. (William Wymark)" "Various" 5.59427376040608 2000 2000 227958
"22796.8" "Odd Man Out" "Half" "Jacobs, W. W. (William Wymark)" "Various" 5.56087658334081 2000 2000 227959
"22796.9" "Odd Man Out" "Half" "Jacobs, W. W. (William Wymark)" "Various" 5.57300646585455 2000 2000 227960
"22797" "Odd Man Out" "Yolanda" "Jacobs, W. W. (William Wymark)" "Major, Charles" 5.55416137570637 2000 2000 227961
"22797.1" "Odd Man Out" "Yolanda" "Jacobs, W. W. (William Wymark)" "Major, Charles" 5.75023178857521 2000 2000 227962
"22797.2" "Odd Man Out" "Yolanda" "Jacobs, W. W. (William Wymark)" "Major, Charles" 5.58219328980956 2000 2000 227963
"22797.3" "Odd Man Out" "Yolanda" "Jacobs, W. W. (William Wymark)" "Major, Charles" 5.68139053856668 2000 2000 227964
"22797.4" "Odd Man Out" "Yolanda" "Jacobs, W. W. (William Wymark)" "Major, Charles" 5.58766045551117 2000 2000 227965
"22797.5" "Odd Man Out" "Yolanda" "Jacobs, W. W. (William Wymark)" "Major, Charles" 5.39176099446986 2000 2000 227966
"22797.6" "Odd Man Out" "Yolanda" "Jacobs, W. W. (William Wymark)" "Major, Charles" 5.65737476586703 2000 2000 227967
"22797.7" "Odd Man Out" "Yolanda" "Jacobs, W. W. (William Wymark)" "Major, Charles" 5.57577655113592 2000 2000 227968
"22797.8" "Odd Man Out" "Yolanda" "Jacobs, W. W. (William Wymark)" "Major, Charles" 5.64910553751714 2000 2000 227969
"22797.9" "Odd Man Out" "Yolanda" "Jacobs, W. W. (William Wymark)" "Major, Charles" 5.51766699720786 2000 2000 227970
"22798" "Odd Man Out" "The Red City" "Jacobs, W. W. (William Wymark)" "Mitchell, S. Weir (Silas Weir)" 5.69457756108369 2000 2000 227971
"22798.1" "Odd Man Out" "The Red City" "Jacobs, W. W. (William Wymark)" "Mitchell, S. Weir (Silas Weir)" 5.60910427977695 2000 2000 227972
"22798.2" "Odd Man Out" "The Red City" "Jacobs, W. W. (William Wymark)" "Mitchell, S. Weir (Silas Weir)" 5.43480536224488 2000 2000 227973
"22798.3" "Odd Man Out" "The Red City" "Jacobs, W. W. (William Wymark)" "Mitchell, S. Weir (Silas Weir)" 5.68577771361051 2000 2000 227974
"22798.4" "Odd Man Out" "The Red City" "Jacobs, W. W. (William Wymark)" "Mitchell, S. Weir (Silas Weir)" 5.8763963433836 2000 2000 227975
"22798.5" "Odd Man Out" "The Red City" "Jacobs, W. W. (William Wymark)" "Mitchell, S. Weir (Silas Weir)" 5.79245483048003 2000 2000 227976
"22798.6" "Odd Man Out" "The Red City" "Jacobs, W. W. (William Wymark)" "Mitchell, S. Weir (Silas Weir)" 5.80347049928957 2000 2000 227977
"22798.7" "Odd Man Out" "The Red City" "Jacobs, W. W. (William Wymark)" "Mitchell, S. Weir (Silas Weir)" 5.67684775637276 2000 2000 227978
"22798.8" "Odd Man Out" "The Red City" "Jacobs, W. W. (William Wymark)" "Mitchell, S. Weir (Silas Weir)" 5.6370843604458 2000 2000 227979
"22798.9" "Odd Man Out" "The Red City" "Jacobs, W. W. (William Wymark)" "Mitchell, S. Weir (Silas Weir)" 5.38583124171207 2000 2000 227980
"22799" "Odd Man Out" "Infatuation" "Jacobs, W. W. (William Wymark)" "Osbourne, Lloyd" 5.68419000211774 2000 2000 227981
"22799.1" "Odd Man Out" "Infatuation" "Jacobs, W. W. (William Wymark)" "Osbourne, Lloyd" 5.75910483791933 2000 2000 227982
"22799.2" "Odd Man Out" "Infatuation" "Jacobs, W. W. (William Wymark)" "Osbourne, Lloyd" 5.76735033400272 2000 2000 227983
"22799.3" "Odd Man Out" "Infatuation" "Jacobs, W. W. (William Wymark)" "Osbourne, Lloyd" 5.85151368753604 2000 2000 227984
"22799.4" "Odd Man Out" "Infatuation" "Jacobs, W. W. (William Wymark)" "Osbourne, Lloyd" 5.76917225409552 2000 2000 227985
"22799.5" "Odd Man Out" "Infatuation" "Jacobs, W. W. (William Wymark)" "Osbourne, Lloyd" 5.52652322729915 2000 2000 227986
"22799.6" "Odd Man Out" "Infatuation" "Jacobs, W. W. (William Wymark)" "Osbourne, Lloyd" 5.68270586803043 2000 2000 227987
"22799.7" "Odd Man Out" "Infatuation" "Jacobs, W. W. (William Wymark)" "Osbourne, Lloyd" 5.74149590085179 2000 2000 227988
"22799.8" "Odd Man Out" "Infatuation" "Jacobs, W. W. (William Wymark)" "Osbourne, Lloyd" 5.69960231831834 2000 2000 227989
"22799.9" "Odd Man Out" "Infatuation" "Jacobs, W. W. (William Wymark)" "Osbourne, Lloyd" 5.57736463593188 2000 2000 227990
"22800" "Odd Man Out" "The Shadow of the Czar" "Jacobs, W. W. (William Wymark)" "Carling, John R." 5.5529367801438 2000 2000 227991
"22800.1" "Odd Man Out" "The Shadow of the Czar" "Jacobs, W. W. (William Wymark)" "Carling, John R." 5.64477352631175 2000 2000 227992
"22800.2" "Odd Man Out" "The Shadow of the Czar" "Jacobs, W. W. (William Wymark)" "Carling, John R." 5.65806675042065 2000 2000 227993
"22800.3" "Odd Man Out" "The Shadow of the Czar" "Jacobs, W. W. (William Wymark)" "Carling, John R." 5.76637331829455 2000 2000 227994
