"V1" "V2" "author1" "author2" "sim" "l1" "l2" "index"
"29887" "The Daisy Chain" "Adventures of a Sixpence in Guernsey by A Native" "Yonge, Charlotte M. (Charlotte Mary)" "Anonymous" 6.28346217195609 2000 2000 298861
"29887.1" "The Daisy Chain" "Adventures of a Sixpence in Guernsey by A Native" "Yonge, Charlotte M. (Charlotte Mary)" "Anonymous" 6.3781510563915 2000 2000 298862
"29887.2" "The Daisy Chain" "Adventures of a Sixpence in Guernsey by A Native" "Yonge, Charlotte M. (Charlotte Mary)" "Anonymous" 6.37368124646314 2000 2000 298863
"29887.3" "The Daisy Chain" "Adventures of a Sixpence in Guernsey by A Native" "Yonge, Charlotte M. (Charlotte Mary)" "Anonymous" 6.16849122840663 2000 2000 298864
"29887.4" "The Daisy Chain" "Adventures of a Sixpence in Guernsey by A Native" "Yonge, Charlotte M. (Charlotte Mary)" "Anonymous" 6.42460683463626 2000 2000 298865
"29887.5" "The Daisy Chain" "Adventures of a Sixpence in Guernsey by A Native" "Yonge, Charlotte M. (Charlotte Mary)" "Anonymous" 6.39590275739087 2000 2000 298866
"29887.6" "The Daisy Chain" "Adventures of a Sixpence in Guernsey by A Native" "Yonge, Charlotte M. (Charlotte Mary)" "Anonymous" 6.36972437637209 2000 2000 298867
"29887.7" "The Daisy Chain" "Adventures of a Sixpence in Guernsey by A Native" "Yonge, Charlotte M. (Charlotte Mary)" "Anonymous" 6.51213936246408 2000 2000 298868
"29887.8" "The Daisy Chain" "Adventures of a Sixpence in Guernsey by A Native" "Yonge, Charlotte M. (Charlotte Mary)" "Anonymous" 6.32551863398421 2000 2000 298869
"29887.9" "The Daisy Chain" "Adventures of a Sixpence in Guernsey by A Native" "Yonge, Charlotte M. (Charlotte Mary)" "Anonymous" 6.24758239084315 2000 2000 298870
"29888" "The Daisy Chain" "Through Russia" "Yonge, Charlotte M. (Charlotte Mary)" "Gorky, Maksim" 5.89813266869505 2000 2000 298871
"29888.1" "The Daisy Chain" "Through Russia" "Yonge, Charlotte M. (Charlotte Mary)" "Gorky, Maksim" 6.21060676525684 2000 2000 298872
"29888.2" "The Daisy Chain" "Through Russia" "Yonge, Charlotte M. (Charlotte Mary)" "Gorky, Maksim" 5.9022373000346 2000 2000 298873
"29888.3" "The Daisy Chain" "Through Russia" "Yonge, Charlotte M. (Charlotte Mary)" "Gorky, Maksim" 5.88943161422557 2000 2000 298874
"29888.4" "The Daisy Chain" "Through Russia" "Yonge, Charlotte M. (Charlotte Mary)" "Gorky, Maksim" 5.73767777748961 2000 2000 298875
"29888.5" "The Daisy Chain" "Through Russia" "Yonge, Charlotte M. (Charlotte Mary)" "Gorky, Maksim" 6.20203582755078 2000 2000 298876
"29888.6" "The Daisy Chain" "Through Russia" "Yonge, Charlotte M. (Charlotte Mary)" "Gorky, Maksim" 6.07801706518612 2000 2000 298877
"29888.7" "The Daisy Chain" "Through Russia" "Yonge, Charlotte M. (Charlotte Mary)" "Gorky, Maksim" 5.7189546011769 2000 2000 298878
"29888.8" "The Daisy Chain" "Through Russia" "Yonge, Charlotte M. (Charlotte Mary)" "Gorky, Maksim" 6.04080399794862 2000 2000 298879
"29888.9" "The Daisy Chain" "Through Russia" "Yonge, Charlotte M. (Charlotte Mary)" "Gorky, Maksim" 6.00133145025348 2000 2000 298880
"29889" "The Daisy Chain" "No Moving Parts" "Yonge, Charlotte M. (Charlotte Mary)" "Yaco, Murray F." 5.90186550827726 2000 2000 298881
"29889.1" "The Daisy Chain" "No Moving Parts" "Yonge, Charlotte M. (Charlotte Mary)" "Yaco, Murray F." 6.08009228259588 2000 2000 298882
"29889.2" "The Daisy Chain" "No Moving Parts" "Yonge, Charlotte M. (Charlotte Mary)" "Yaco, Murray F." 6.17570080722134 2000 2000 298883
"29889.3" "The Daisy Chain" "No Moving Parts" "Yonge, Charlotte M. (Charlotte Mary)" "Yaco, Murray F." 6.22364707801684 2000 2000 298884
"29889.4" "The Daisy Chain" "No Moving Parts" "Yonge, Charlotte M. (Charlotte Mary)" "Yaco, Murray F." 6.15770177459376 2000 2000 298885
"29889.5" "The Daisy Chain" "No Moving Parts" "Yonge, Charlotte M. (Charlotte Mary)" "Yaco, Murray F." 6.21636951925896 2000 2000 298886
"29889.6" "The Daisy Chain" "No Moving Parts" "Yonge, Charlotte M. (Charlotte Mary)" "Yaco, Murray F." 6.26880837732665 2000 2000 298887
"29889.7" "The Daisy Chain" "No Moving Parts" "Yonge, Charlotte M. (Charlotte Mary)" "Yaco, Murray F." 6.02277112789225 2000 2000 298888
"29889.8" "The Daisy Chain" "No Moving Parts" "Yonge, Charlotte M. (Charlotte Mary)" "Yaco, Murray F." 6.11060839956515 2000 2000 298889
"29889.9" "The Daisy Chain" "No Moving Parts" "Yonge, Charlotte M. (Charlotte Mary)" "Yaco, Murray F." 6.15288740403625 2000 2000 298890
"29890" "The Daisy Chain" "The Native Soil" "Yonge, Charlotte M. (Charlotte Mary)" "Nourse, Alan Edward" 6.08417252277376 2000 2000 298891
"29890.1" "The Daisy Chain" "The Native Soil" "Yonge, Charlotte M. (Charlotte Mary)" "Nourse, Alan Edward" 6.00920393912629 2000 2000 298892
"29890.2" "The Daisy Chain" "The Native Soil" "Yonge, Charlotte M. (Charlotte Mary)" "Nourse, Alan Edward" 5.70200650311302 2000 2000 298893
"29890.3" "The Daisy Chain" "The Native Soil" "Yonge, Charlotte M. (Charlotte Mary)" "Nourse, Alan Edward" 6.12602570134067 2000 2000 298894
"29890.4" "The Daisy Chain" "The Native Soil" "Yonge, Charlotte M. (Charlotte Mary)" "Nourse, Alan Edward" 6.1488527635888 2000 2000 298895
"29890.5" "The Daisy Chain" "The Native Soil" "Yonge, Charlotte M. (Charlotte Mary)" "Nourse, Alan Edward" 6.12266571166745 2000 2000 298896
"29890.6" "The Daisy Chain" "The Native Soil" "Yonge, Charlotte M. (Charlotte Mary)" "Nourse, Alan Edward" 5.96003011765037 2000 2000 298897
"29890.7" "The Daisy Chain" "The Native Soil" "Yonge, Charlotte M. (Charlotte Mary)" "Nourse, Alan Edward" 6.02973132786183 2000 2000 298898
"29890.8" "The Daisy Chain" "The Native Soil" "Yonge, Charlotte M. (Charlotte Mary)" "Nourse, Alan Edward" 6.00655023063342 2000 2000 298899
"29890.9" "The Daisy Chain" "The Native Soil" "Yonge, Charlotte M. (Charlotte Mary)" "Nourse, Alan Edward" 6.00029922072835 2000 2000 298900
