"","word1","word2","rating","sim","cossim","glove300","glove50","pdc"
"1","old","new",0.158,0.1832695915508,0.776426215601722,0.36769307,0.6197198,0.3339294
"2","hard","difficult",0.877,0.8000560957559,0.936767177159532,0.63578075,0.81684184,0.49291873
"3","hard","easy",0.095,0.27249934650182,0.737016864790853,0.5784261,0.86035174,0.4699451
"4","fast","rapid",0.875,0.0573160702394049,0.661886094304619,0.506792,0.61314803,0.49637392
"5","short","long",0.123,0.398182343253748,0.835785429859874,0.6961787,0.8872582,0.62048125
"6","wide","narrow",0.103,0.318179478098616,0.755345068458138,0.4771077,0.71996135,0.5275279
"7","easy","difficult",0.058,0.360733162442325,0.74096692123022,0.62356824,0.83453834,0.5861316
"8","new","fresh",0.683,0.764669425353603,0.886081364268545,0.39774626,0.54209244,0.32612985
"9","old","fresh",0.087,0.0650879199950085,0.729136450824755,0.22808562,0.39635888,0.20394672
"10","strong","proud",0.317,0.401192823539578,0.725012145180906,0.31362537,0.5080633,0.38798398
"11","long","narrow",0.357,0.198235443202531,0.737938784608735,0.36447597,0.68496615,0.31963986
"12","big","heavy",0.618,0.600135658155678,0.840735945074757,0.40267208,0.59703076,0.27920914
"13","bad","guilty",0.42,0.644068404049807,0.807680754363884,0.2080981,0.4492284,0.2452215
"14","easy","big",0.112,0.179705541943799,0.724292474937921,0.45403525,0.7160911,0.24873793
"15","dirty","cheap",0.16,0.266933769949882,0.720447224750793,0.43426847,0.56789345,0.42626458
"16","hard","dense",0.59,0.286856668344374,0.746393561319201,0.19293906,0.40058023,0.26573876
"17","wife","husband",0.23,0.846315115482216,0.971469318979146,0.8646391,0.95067436,0.605293
"18","night","day",0.188,0.863065903688473,0.985870275566566,0.6382712,0.8746731,0.56694484
"19","south","north",0.22,0.910409728057979,0.95175291853034,0.8112711,0.9469195,0.83794266
"20","uncle","aunt",0.55,0.73909231822138,0.973621343831992,0.6660684,0.76310337,0.78116095
"21","horse","mare",0.833,0.889106937435905,0.967310258314474,0.35035866,0.49145645,0.39740014
"22","bottom","top",0.07,0.3685155059037,0.822803458194958,0.45790583,0.6286689,0.6451053
"23","student","pupil",0.935,0.75727121451204,0.969609098982442,0.42643473,0.5730189,0.5404803
"24","leg","arm",0.288,0.649728947503215,0.860220468601111,0.500388,0.645314,0.53632534
"25","woman","man",0.333,0.868776333968796,0.987470639312409,0.69986635,0.8860338,0.6283903
"26","bird","hawk",0.785,0.288092439397785,0.799936368856899,0.2662014,0.4906606,0.46009302
"27","dog","cat",0.175,0.828585560539635,0.918475383058176,0.68167466,0.92180055,0.6250843
"28","cow","cattle",0.952,0.892054748006368,0.966542026481189,0.62481314,0.7895811,0.6029005
"29","book","story",0.563,0.340675708180546,0.734955970487409,0.5681516,0.8662748,0.40147305
"30","winter","summer",0.238,0.704027781588075,0.905812136420962,0.7940489,0.9199836,0.80639774
"31","arm","shoulder",0.485,0.751018399483316,0.963332893752891,0.5409059,0.712644,0.53480774
"32","sheep","lamb",0.842,0.874411411824659,0.969132688861621,0.39483446,0.5050881,0.5638432
"33","toe","finger",0.468,0.745202077841522,0.888705117333876,0.49119088,0.7597165,0.47759333
"34","river","stream",0.73,0.756317081899751,0.863542365058272,0.5190365,0.6971613,0.43578178
"35","sea","ocean",0.827,0.884468056139259,0.972808324011169,0.6844729,0.8811649,0.5060582
"36","hand","thumb",0.388,0.699928240625709,0.924144900964342,0.4685597,0.5848755,0.44571728
"37","mud","dirt",0.732,0.694664030834759,0.911819252394873,0.55808914,0.8252765,0.5242745
"38","beer","alcohol",0.75,0.838712217645403,0.974750958786613,0.44642705,0.55381805,0.5723958
"39","mouth","lip",0.71,0.84178431109932,0.96197414981263,0.39583242,0.7043345,0.46179312
"40","friend","guest",0.425,0.758678590305111,0.925682140811131,0.2989108,0.5759978,0.17631498
"41","hand","wrist",0.397,0.731495761620259,0.910668337008934,0.44394755,0.55499685,0.4920976
"42","clothes","cloth",0.547,0.899346023342316,0.971631227512388,0.48015812,0.71851575,0.5532213
"43","nail","thumb",0.355,0.344344430192516,0.75255969432705,0.2507958,0.4688343,0.30535352
"44","winter","season",0.627,0.582870733732953,0.830909631153049,0.5159531,0.6897383,0.38058373
"45","window","door",0.333,0.819947953323096,0.887748345217934,0.6694078,0.87262726,0.6044439
"46","arm","wrist",0.357,0.741896134409228,0.917002427231503,0.5408115,0.66540194,0.6096153
"47","dinner","breakfast",0.333,0.812692495428416,0.947905660027031,0.7218676,0.89590573,0.63599634
"48","bread","flour",0.333,0.813559335596068,0.939250754934271,0.62979263,0.8178797,0.6479761
"49","gun","cannon",0.568,0.836924631731348,0.961032091425204,0.51023704,0.67479134,0.56415874
"50","ball","basket",0.167,0.318108322301549,0.76436958757034,0.4225044,0.7031458,0.39786458
"51","boy","kid",0.75,0.28149407685135,0.817330798780066,0.65529335,0.8192579,0.50727636
"52","father","parent",0.707,0.297203795825062,0.811552996943201,0.31299755,0.44415718,0.30889863
"53","cloud","fog",0.6,0.818771416168827,0.969076176233981,0.47199413,0.6385554,0.43844572
"54","boy","son",0.675,0.807985783608867,0.978605399119915,0.5726957,0.70969886,0.347116
"55","water","ice",0.647,0.161422636742108,0.674814572059735,0.40232995,0.68442446,0.30376592
"56","bed","blanket",0.302,0.657125450544262,0.770446958765479,0.37708846,0.5077449,0.39727968
"57","hand","foot",0.417,0.670570913425226,0.857698278503473,0.42381704,0.6566213,0.356973
"58","meal","dinner",0.715,0.816745385882183,0.958208723273331,0.6411887,0.7444801,0.666114
"59","eye","tear",0.355,0.745017369959168,0.88332439699954,0.24789654,0.4092728,0.26580414
"60","rat","mouse",0.778,0.973308070181958,0.999693787477382,0.52679914,0.67962575,0.6252812
"61","door","gate",0.525,0.8739362302588,0.956119736662368,0.4047563,0.6744946,0.42732713
"62","bone","jaw",0.417,0.232493753495487,0.742980716555569,0.5104861,0.7360433,0.5493971
"63","house","key",0.19,0.0664468569585873,0.746910699144638,0.28755316,0.5861479,0.13653922
"64","blood","flesh",0.428,0.610201234691284,0.802585549919917,0.40544364,0.66427314,0.5053509
"65","god","spirit",0.73,0.321585501884674,0.679357325273278,0.46825543,0.7578831,0.3678149
"66","wall","brick",0.468,0.208751136481133,0.724319102299027,0.4122694,0.65720594,0.45775712
"67","stomach","waist",0.59,0.66005248747885,0.782204116840958,0.29041487,0.51660323,0.4351139
"68","cloud","storm",0.56,0.781342414501536,0.901214714119868,0.34926984,0.61003685,0.3756054
"69","beer","beverage",0.542,0.663977623877495,0.910640901830517,0.5729462,0.7474573,0.6620646
"70","man","uncle",0.392,0.59857530578515,0.901049746497157,0.39819723,0.63681257,0.24127775
"71","shore","coast",0.883,0.839584785423587,0.951678984769737,0.5113322,0.79273826,0.4324442
"72","supper","meal",0.753,0.816441319600889,0.964499318665512,0.4679317,0.6536929,0.5817121
"73","water","salt",0.13,0.554641537949663,0.777305825272485,0.4685309,0.733198,0.41247556
"74","boundary","border",0.908,0.751732209886111,0.964334131613465,0.4660752,0.5891298,0.57672423
"75","arm","body",0.405,0.391342767998524,0.883770746302807,0.387918,0.67283005,0.3325568
"76","boat","car",0.237,0.185211329109699,0.641505446224186,0.39315885,0.60589,0.365715
"77","insect","bee",0.607,0.601551471566349,0.673218890246766,0.32080552,0.28257513,0.48732817
"78","animal","person",0.305,0.513606786289806,0.950690690455434,0.2826898,0.56749773,0.244916
"79","cheek","tongue",0.452,0.176743483707409,0.703127825871657,0.57809776,0.7625136,0.8203596
"80","foot","head",0.23,0.397760960189803,0.80600437585231,0.3281311,0.55799246,0.19416937
"81","mouth","tooth",0.63,0.783830434405878,0.915787115274893,0.31924757,0.60848856,0.3544768
"82","plate","bowl",0.523,0.83832401441374,0.917686445734009,0.28921363,0.52956575,0.1566206
"83","body","chest",0.445,0.231696193025992,0.73358114835307,0.42683968,0.6547575,0.4661274
"84","son","father",0.382,0.356383235133565,0.817932422113262,0.8562743,0.9528983,0.7834499
"85","man","father",0.483,0.641215822916566,0.922857049584199,0.54523456,0.7795256,0.26074976
"86","woman","wife",0.572,0.78354044632879,0.960069729855184,0.59869933,0.80373937,0.39359197
"87","wood","paper",0.288,0.207284877156366,0.703546936939053,0.36367562,0.5760558,0.22894041
"88","top","side",0.19,0.525530369041923,0.837405016027755,0.3907371,0.65740556,0.23136267
"89","father","daughter",0.262,0.392760886556087,0.850452466779649,0.7318556,0.8904723,0.6234946
"90","cow","goat",0.293,0.0400027454804318,0.607854510829134,0.56264836,0.7338031,0.658204
"91","friend","teacher",0.262,0.32341510308348,0.792665943480314,0.43737683,0.6894915,0.35426638
"92","brother","son",0.348,0.382819903516484,0.835520659807088,0.83231664,0.9449328,0.59492224
"93","aunt","nephew",0.31,0.486069192192382,0.866411502054015,0.48726812,0.6433468,0.6063268
"94","bee","queen",0.327,0.832895379390535,0.878869847481604,0.22623602,0.30107585,0.3767036
"95","cloud","weather",0.487,0.483066368804852,0.875639874176489,0.32169563,0.55375826,0.38314742
"96","river","valley",0.167,0.669083450737514,0.808598561699384,0.60011166,0.82075727,0.54532856
"97","sun","sky",0.227,0.698220777432729,0.903339166414132,0.44243422,0.66367567,0.51388764
"98","target","arrow",0.325,0.0749050681355279,0.555656597417374,0.20679279,0.37116635,0.30103064
"99","day","dawn",0.547,0.615084592875142,0.876414516455524,0.38867435,0.6748411,0.34598395
"100","arm","vein",0.365,0.18105529304367,0.696632131735393,0.19503976,0.40445122,0.16450632
"101","bone","ankle",0.382,0.431431236835272,0.798029936409176,0.41972902,0.6085834,0.4572174
"102","rice","bean",0.272,0.618106116433569,0.900379535325189,0.36405218,0.61862206,0.436998
"103","north","west",0.363,0.142963741347696,0.806343902752065,0.6374717,0.9263175,0.58090657
"104","mother","wife",0.302,0.470752444307774,0.877470134448048,0.8087015,0.94264925,0.5583156
"105","crowd","bunch",0.742,0.270177291084997,0.765771674096512,0.2824976,0.45347798,0.30284917
"106","man","child",0.413,0.615126021550603,0.894868030917612,0.3721755,0.70837414,0.23574303
"107","body","stomach",0.393,0.221666940641155,0.709985888549487,0.3495676,0.57038915,0.4049693
"108","tongue","throat",0.31,0.562780496289507,0.803555342976942,0.47008392,0.70229703,0.44667938
"109","brother","soul",0.097,0.0947877315501935,0.80438482161539,0.24777077,0.43058288,0.26528364
"110","day","morning",0.487,0.558450915557567,0.862748913103548,0.68459755,0.8744832,0.55612075
"111","song","story",0.397,0.0789423999459708,0.723339888746563,0.35343027,0.6026229,0.3226546
"112","chicken","rice",0.143,0.0991971764717672,0.618571361141577,0.4087798,0.5904336,0.39989406
"113","butter","potato",0.122,0.0801256699342547,0.69657899779366,0.48563224,0.7528238,0.55119044
"114","lake","swamp",0.492,0.768016061652658,0.89006138519693,0.3528645,0.5749455,0.34484577
"115","sugar","honey",0.513,0.487363656090706,0.772196624644918,0.5066747,0.7472094,0.48784527
"116","body","shoulder",0.288,0.411288195320564,0.896150873616395,0.26966006,0.5763446,0.25209522
"117","father","brother",0.42,0.777178969043868,0.966956157740381,0.820579,0.93226284,0.6590705
"118","room","bed",0.235,0.425978749722084,0.806714637207938,0.5380096,0.8125321,0.4358167
"119","flower","bush",0.425,0.762720730489276,0.858714528639947,0.02798882,0.15978238,0.2014424
"120","bone","knee",0.417,0.452110208620952,0.779811785753835,0.40810335,0.6121596,0.40311068
"121","arm","knee",0.275,0.610633292615935,0.83519468449238,0.36792472,0.534186,0.45732856
