"","word1","word2","rating","sim","cossim","glove300","glove50","pdc"
"8","smell","sniff",0.797,0.864306072621048,0.981406553268221,0.47767887,0.5219905,0.4938335
"12","condemn","kill",0.365,0.283994504099624,0.679586072474987,0.24209377,0.50742996,0.4349146
"16","tear","fold",0.066,0.450188337853794,0.860930040728884,0.08694522,0.3624791,0.19190302
"22","descend","go",0.332,0.74675934708256,0.942170960473145,0.20076202,0.40439555,0.2965463
"26","feel","touch",0.78,0.386905811218631,0.890086593094335,0.4712763,0.7332883,0.4044909
"27","connect","separate",0.149,0.248766125884815,0.826724067182395,0.28314418,0.50797725,0.24698813
"29","protect","defend",0.78,0.817617462710552,0.975517346192165,0.6427171,0.7578272,0.66344357
"33","drive","walk",0.149,0.489102818653917,0.901812546468957,0.400384,0.62800807,0.35520655
"34","build","grow",0.481,0.381777363724401,0.826143524223527,0.4083476,0.55115694,0.43036678
"36","cover","protect",0.681,0.217266076591571,0.743860778117641,0.36560333,0.59118295,0.2488636
"40","reflect","look",0.415,0.526484122031751,0.890211352067912,0.445886,0.6709413,0.2481992
"41","defeat","beat",0.847,0.632510979217364,0.76653479586596,0.4498008,0.7369445,0.41699892
"44","go","let",0.282,0.656528733572745,0.93056776081108,0.7310501,0.92593867,0.5514276
"49","shake","shiver",0.631,0.913728872374142,0.956983631143938,0.23559634,0.36846358,0.358267
"50","take","carry",0.564,0.715936311674139,0.95968803863757,0.5273507,0.7777833,0.35207576
"53","ask","tell",0.066,0.458269538323458,0.855811138037647,0.7613218,0.90859336,0.57138675
"55","bend","break",0.465,0.331056221594547,0.792026058243646,0.19898275,0.37306315,0.24502997
"56","tear","break",0.614,0.647093893057911,0.94838102658694,0.3890884,0.5536537,0.38906613
"59","give","bring",0.498,0.672991903034466,0.922515221369857,0.617245,0.8735158,0.53436357
"60","go","move",0.631,0.741012349001431,0.966690263508397,0.5524576,0.83480436,0.35483205
"61","kill","shoot",0.531,0.797049338564888,0.959313281184663,0.58354527,0.71433634,0.571747
"67","believe","know",0.365,0.65070442503137,0.91397301752977,0.7435047,0.8713006,0.51878977
"70","cook","bake",0.78,0.679651130452819,0.927749538211096,0.41398656,0.5610726,0.4347611
"72","break","destroy",0.83,0.810365095672265,0.986443008530604,0.31645983,0.41179648,0.31378475
"74","wrap","tie",0.531,0.679467147018273,0.897395063396363,0.3598502,0.67003757,0.36341527
"77","accuse","tell",0.249,0.0583739176176695,0.600296461164538,0.24420202,0.37893316,0.39807785
"82","put","take",0.149,0.560166653496481,0.94222569982261,0.6772551,0.9049278,0.39344776
"84","melt","freeze",0.017,0.434249221502402,0.816213533825336,0.30793324,0.4395984,0.5188153
"88","pull","lift",0.282,0.526734828748427,0.900275451216019,0.49079654,0.78226864,0.36332938
"90","live","let",0.199,0.217015975328932,0.824290556062008,0.40266076,0.62880045,0.24620162
"92","destroy","kill",0.78,0.52613568895601,0.908590127607361,0.59933347,0.73543984,0.6625334
"94","buy","sell",0,0.80675843720269,0.951556312565127,0.85981095,0.9634349,0.8293897
"96","rise","wake",0.83,0.706708850768259,0.957673557154282,0.33598423,0.62531215,0.26427197
"98","jump","climb",0.199,0.513482427261509,0.888064966572036,0.50078213,0.76125634,0.34324104
"103","take","use",0.315,0.0670342776140239,0.640194656083222,0.5467155,0.74928856,0.24683726
"111","know","meet",0.282,0.397125375386098,0.855221770045066,0.3607662,0.59458303,0.36663043
"114","beat","kill",0.365,0.76589464048471,0.955321717686089,0.2332073,0.3223151,0.26702866
"115","thaw","melt",0.847,0.903441881593159,0.980143727604662,0.3604865,0.5441801,0.49996763
"118","walk","jog",0.432,0.114210525046653,0.76425571751771,0.4458926,0.47910064,0.39972264
"120","say","speak",0.93,0.82950969236502,0.973976541100992,0.47772625,0.71577054,0.3951123
"122","see","meet",0.531,0.348761008616569,0.904075632384944,0.33536765,0.70138276,0.21692051
"127","sell","borrow",0.066,0.447129876249063,0.892161756284568,0.5093964,0.71145624,0.43108675
